id,digest,ab_add2,ab_add3,size,chaoxiang,level,price,rent_type
174031015,金宸公寓 3室2厅2卫,西城,金融街租房,191平,南北,楼层中部/15层,45000元/月,整租
174327511,羊肉胡同 2室1厅1卫,西城,阜成门租房,61平,南北,楼层上部/6层,10500元/月,整租
172726912,安华里一区 2室1厅1卫,朝阳,安贞租房,54平,南北,楼层上部/6层,6000元/月,整租
174313497,望京路3号院 2室1厅1卫,朝阳,望京租房,64平,南北,楼层下部/6层,6500元/月,整租
173983296,小马厂东里 2室1厅1卫,西城,天宁寺租房,67平,东南,楼层下部/17层,7000元/月,整租
173897685,紫竹花园 3室2厅2卫,海淀,紫竹桥租房,221平,东南,楼层上部/27层,21000元/月,整租
170868261,南菜园1号院 2室1厅1卫,西城,白纸坊租房,56平,南,楼层中部/6层,5000元/月,整租
168955696,天宁寺西里 1室1厅1卫,西城,广安门租房,44平,东,楼层上部/6层,4100元/月,整租
174318996,东四十条甲34号院 2室1厅1卫,东城,东四十条租房,58平,南北,楼层下部/6层,8000元/月,整租
174097052,天通苑本三区 3室1厅2卫,昌平,天通苑租房,162平,南,楼层中部/20层,7000元/月,整租
174216810,万景公寓 2室1厅1卫,海淀,紫竹桥租房,106平,西,楼层下部/19层,8500元/月,整租
173734295,国风上观 4室2厅2卫,朝阳,望京租房,229平,南北,楼层中部/27层,25000元/月,整租
171829346,交道口东大街 2室2厅2卫,东城,交道口租房,120平,南,楼层上部/6层,13000元/月,整租
174322216,紫竹花园 3室2厅2卫,海淀,紫竹桥租房,211平,南北,楼层中部/18层,15000元/月,整租
171840835,美林花园 5室2厅9卫,海淀,紫竹桥租房,235平,西,楼层上部/28层,22000元/月,整租
174041683,万科四季花城 3室1厅1卫,顺义,顺义城租房,124平,南北,楼层上部/11层,7000元/月,整租
172637949,天通苑本三区 2室1厅1卫,昌平,天通苑租房,67平,南北,楼层中部/6层,4500元/月,整租
172726971,安华里五区 3室1厅1卫,朝阳,安贞租房,68平,东西,楼层中部/6层,7500元/月,整租
173444449,龙跃苑三区 3室1厅2卫142.53平米,昌平,回龙观租房,142平,南北,楼层上部/6层,2500元/月,合租
168366499,民安小区 2室1厅1卫,东城,东直门租房,38平,南,楼层中部/5层,6500元/月,整租
166641101,荣宁园小区 3室1厅1卫,西城,白纸坊租房,170平,南,楼层中部/22层,18000元/月,整租
174087946,西辛北区 3室1厅1卫,顺义,顺义城租房,93平,南北,楼层中部/6层,5000元/月,整租
174088952,土儿胡同 2室1厅1卫,东城,交道口租房,66平,南北,楼层上部/6层,9000元/月,整租
174101094,丰汇园小区 1室1厅1卫,西城,金融街租房,50平,东,楼层下部/12层,6800元/月,整租
174246063,望馨园    3室1厅2卫,朝阳,望京租房,154平,南北,楼层下部/7层,2700元/月,合租
173772041,龙跃苑三区 2室1厅1卫,昌平,回龙观租房,102平,南北,楼层上部/6层,2000元/月,合租
174333124,万寿寺北里 2室1厅1卫,海淀,魏公村租房,73平,南,楼层下部/6层,8800元/月,整租
173603363,安华里四区 2室1厅1卫,朝阳,安贞租房,57平,东西,楼层上部/14层,5700元/月,整租
174426371,羊肉胡同 1室1厅1卫,西城,阜成门租房,41平,南,楼层下部/6层,7000元/月,整租
173696876,朝庭公寓 3室1厅2卫,朝阳,望京租房,133平,南,楼层上部/27层,3500元/月,合租
173734218,宝星国际 1室0厅1卫,朝阳,望京租房,73平,南,楼层下部/24层,6800元/月,整租
174204523,建功北里 2室1厅1卫,西城,白纸坊租房,53平,南北,楼层下部/6层,5500元/月,整租
173388931,建功北里五区 1室1厅1卫,西城,白纸坊租房,47平,南北,楼层上部/6层,4000元/月,整租
172726947,安华里五区 2室1厅1卫,朝阳,安贞租房,62平,西北,楼层下部/16层,5200元/月,整租
174381708,荣宁园小区 3室1厅1卫,西城,白纸坊租房,144平,西南,楼层下部/14层,13000元/月,整租
172726833,安华西里一区 2室1厅1卫,朝阳,安贞租房,57平,东南,楼层上部/21层,6700元/月,整租
173847859,中海凯旋 3室2厅2卫,西城,金融街租房,170平,南北,楼层上部/8层,42000元/月,整租
173710135,大柳树路13号院 2室1厅1卫,海淀,大慧寺租房,59平,南北,楼层上部/5层,7800元/月,整租
172412657,安华西里三区 2室1厅1卫,朝阳,安贞租房,53平,北,楼层上部/6层,2400元/月,合租
174090132,龙跃苑三区 3室2厅2卫,昌平,回龙观租房,124平,南北,楼层中部/6层,1500元/月,合租
172706208,花家地西里一区 2室1厅1卫,朝阳,花家地租房,65平,东西,楼层上部/6层,5500元/月,整租
172459543,土儿胡同 2室1厅1卫,东城,交道口租房,67平,南北,楼层上部/6层,8800元/月,整租
173879242,北洼西里 2室2厅1卫,海淀,紫竹桥租房,100平,西南,楼层下部/18层,8500元/月,整租
173142742,丰汇园小区 2室2厅2卫,西城,金融街租房,109平,东西,楼层中部/6层,17000元/月,整租
172726939,安华西里一区 2室1厅1卫,朝阳,安贞租房,66平,西南,楼层上部/11层,6600元/月,整租
172483493,上京新航线 2室1厅1卫,朝阳,望京租房,83平,南,楼层下部/26层,8300元/月,整租
171850477,智地香蜜湾 2室1厅1卫,顺义,后沙峪租房,89平,东南,楼层上部/16层,6500元/月,整租
172726914,安华里一区 2室1厅1卫,朝阳,安贞租房,50平,南北,楼层下部/6层,6300元/月,整租
171783175,中加大厦 4室1厅1卫,西城,白纸坊租房,161平,东西,楼层下部/24层,3500元/月,整租
171876561,土儿胡同 2室1厅1卫,东城,交道口租房,69平,南北,楼层中部/6层,8800元/月,整租
172726841,安华西里一区 2室1厅1卫,朝阳,安贞租房,50平,南,楼层中部/21层,6500元/月,整租
172726891,安华西里二区 3室1厅1卫,朝阳,安贞租房,67平,东,楼层上部/6层,8800元/月,整租
172726900,安华西里三区 2室1厅1卫,朝阳,安贞租房,52平,南北,楼层下部/6层,5700元/月,整租
171598224,东直门内北小街16号院 2室1厅1卫,东城,东直门租房,90平,东西,楼层中部/10层,9000元/月,整租
172726953,安华里四区 3室1厅1卫,朝阳,安贞租房,72平,东,楼层中部/14层,8500元/月,整租
173261874,慧谷阳光 3室1厅2卫,朝阳,望京租房,127平,南,楼层下部/12层,2800元/月,合租
173261919,宝星园    3室1厅1卫,朝阳,望京租房,125平,南,楼层下部/19层,2800元/月,合租
171959888,宝星华庭 3室1厅2卫,朝阳,望京租房,150平,东南,楼层下部/14层,23000元/月,整租
173432436,华远北街1号 1室1厅1卫,西城,西单租房,57平,西北,楼层上部/17层,7000元/月,整租
174243078,龙跃苑三区 3室1厅2卫,昌平,回龙观租房,143平,南北,楼层下部/6层,6500元/月,整租
170715788,龙跃苑一区 3室1厅1卫112.0平米,昌平,回龙观租房,112平,南北,楼层中部/6层,6200元/月,整租
173874634,龙跃苑四区 3室1厅1卫,昌平,回龙观租房,111平,南北,楼层上部/6层,1500元/月,合租
167453912,菜园街10号院 3室2厅2卫,西城,白纸坊租房,145平,南北,楼层上部/6层,9000元/月,整租
173980009,天恒乐活城北区 3室2厅2卫,房山,阎村租房,173平,南北,楼层中部/5层,6000元/月,整租
168419327,天缘公寓 2室2厅1卫,西城,白纸坊租房,111平,南北,楼层上部/28层,11000元/月,整租
173261499,宝星国际 3室2厅2卫,朝阳,望京租房,155平,南北,楼层上部/22层,14000元/月,整租
174407702,望京花园西区 2室1厅1卫,朝阳,望京租房,83平,西南,楼层上部/24层,2600元/月,合租
174392387,昊腾家园 2室2厅1卫,房山,阎村租房,100平,南北,楼层中部/6层,2500元/月,整租
174120594,千禧家园 3室2厅2卫,房山,阎村租房,121平,南北,楼层中部/6层,2500元/月,整租
173899661,朝庭公寓 2室2厅2卫,朝阳,望京租房,111平,南,楼层上部/31层,3000元/月,合租
160289516,博雅国际中心 1室1厅1卫,朝阳,望京租房,50平,北,楼层下部/26层,5500元/月,整租
174406103,绿城百合公寓玉泉苑 3室2厅2卫,房山,阎村租房,176平,南北,楼层上部/18层,2800元/月,整租
173994948,绿城百合公寓叠翠苑 5室3厅3卫,房山,阎村租房,231平,南北,楼层上部/5层,4000元/月,整租
173471310,博雅国际中心 1室1厅1卫,朝阳,望京租房,50平,南,楼层下部/26层,5500元/月,整租
174334824,利泽西园 3室1厅1卫,朝阳,望京租房,110平,南,楼层上部/16层,2100元/月,合租
173901714,宝星园    2室2厅1卫,朝阳,望京租房,106平,南,楼层中部/25层,9000元/月,整租
174334910,利泽西园 1室1厅1卫,朝阳,望京租房,70平,西南,楼层下部/24层,5800元/月,整租
174358309,绿城百合公寓栖霞苑 3室2厅2卫,房山,阎村租房,129平,南北,楼层中部/4层,3300元/月,整租
174428464,绿城百合公寓流虹苑 4室2厅2卫,房山,阎村租房,150平,南北,楼层中部/5层,4000元/月,整租
174203121,蝶翠华庭 2室1厅2卫,西城,广安门租房,95平,南,楼层下部/23层,8000元/月,整租
173902219,西黄城根南街小区 2室1厅1卫,西城,西单租房,58平,南北,楼层下部/6层,8000元/月,整租
174387729,望京花园西区 2室1厅1卫,朝阳,望京租房,79平,南,楼层下部/24层,2700元/月,合租
174392481,朝庭公寓 2室2厅2卫,朝阳,望京租房,109平,南北,楼层上部/27层,11000元/月,整租
174234687,北京北小区 2室1厅1卫,昌平,立水桥租房,87平,南北,楼层下部/20层,6500元/月,整租
