id,digest,ab_add2,ab_add3,size,chaoxiang,level,price,rent_type
173046972,右内西街甲10号院 2室1厅1卫,西城,白纸坊租房,55平,南,楼层下部/6层,4800元/月,整租
172726912,安华里一区 2室1厅1卫,朝阳,安贞租房,54平,南北,楼层上部/6层,6000元/月,整租
173891670,红莲北里 2室1厅1卫,西城,马连道租房,51平,南北,楼层下部/6层,5000元/月,整租
173897685,紫竹花园 3室2厅2卫,海淀,紫竹桥租房,221平,东南,楼层上部/27层,21000元/月,整租
172726899,安华西里三区 2室1厅1卫,朝阳,安贞租房,53平,南北,楼层下部/6层,6500元/月,整租
170415768,双槐里    2室1厅1卫,西城,牛街租房,44平,南北,楼层上部/7层,5500元/月,整租
172852914,天通苑本三区 3室1厅2卫,昌平,天通苑租房,162平,南,楼层中部/20层,7000元/月,整租
173538814,半壁街南路1号院 1室1厅1卫,海淀,紫竹桥租房,39平,,楼层上部/24层,5000元/月,整租
173272766,首师大宿舍 2室1厅1卫,海淀,航天桥租房,77平,南,楼层中部/18层,9000元/月,整租
172251684,玉林东里三区 2室1厅1卫,丰台,右安门外租房,55平,南北,楼层中部/6层,4500元/月,整租
173542524,红莲南里 2室1厅1卫,西城,马连道租房,60平,南北,楼层上部/18层,5000元/月,整租
172875004,紫竹花园 3室2厅2卫,海淀,紫竹桥租房,211平,南北,楼层中部/18层,15000元/月,整租
171840835,美林花园 5室2厅9卫,海淀,紫竹桥租房,235平,西,楼层上部/28层,22000元/月,整租
171039125,天通苑本三区 2室1厅1卫,昌平,天通苑租房,67平,南北,楼层中部/6层,4500元/月,整租
170164916,清芷园    3室2厅2卫,西城,陶然亭租房,148平,南北,楼层上部/14层,18000元/月,整租
173266884,中海雅园 3室2厅2卫,海淀,紫竹桥租房,154平,南北,楼层上部/22层,13500元/月,整租
172726971,安华里五区 3室1厅1卫,朝阳,安贞租房,68平,东西,楼层中部/6层,7500元/月,整租
172570224,世纪新景 3室2厅1卫,海淀,紫竹桥租房,173平,东北,楼层中部/21层,17000元/月,整租
173444449,龙跃苑三区 3室1厅2卫142.53平米,昌平,回龙观租房,142平,南北,楼层上部/6层,2500元/月,合租
173126199,世纪金色嘉园 2室2厅2卫,丰台,右安门外租房,131平,南,楼层下部/28层,12000元/月,整租
173532494,万寿寺北里 2室1厅1卫,海淀,魏公村租房,73平,南,楼层下部/6层,9000元/月,整租
173603363,安华里四区 2室1厅1卫,朝阳,安贞租房,57平,东西,楼层上部/14层,5700元/月,整租
173696876,朝庭公寓 3室1厅2卫,朝阳,望京租房,133平,南,楼层上部/27层,3500元/月,合租
173734218,宝星国际 1室0厅1卫,朝阳,望京租房,73平,南,楼层下部/24层,6800元/月,整租
173248489,绿城百合公寓天风苑 2室2厅1卫,房山,阎村租房,106平,南北,楼层下部/11层,3500元/月,整租
173413239,星城北里 3室2厅1卫,房山,阎村租房,125平,南北,楼层中部/6层,2700元/月,整租
169385515,绿城百合公寓叠翠苑 5室3厅3卫,房山,阎村租房,231平,南北,楼层上部/5层,4000元/月,整租
173466062,昊腾家园 2室2厅1卫,房山,阎村租房,100平,南北,楼层中部/6层,2500元/月,整租
173901714,宝星园    2室2厅1卫,朝阳,望京租房,106平,南,楼层中部/25层,9000元/月,整租
173905553,天恒乐活城北区 2室2厅1卫,房山,阎村租房,89平,南北,楼层中部/11层,2500元/月,整租
172967851,龙跃苑三区 3室1厅2卫143.0平米,昌平,回龙观租房,143平,南北,楼层中部/6层,1500元/月,合租
173855802,望京西园三区 3室1厅2卫,朝阳,望京租房,175平,南,楼层上部/18层,2500元/月,合租
172726947,安华里五区 2室1厅1卫,朝阳,安贞租房,62平,西北,楼层下部/16层,5200元/月,整租
172726833,安华西里一区 2室1厅1卫,朝阳,安贞租房,57平,东南,楼层上部/21层,6700元/月,整租
173710135,大柳树路13号院 2室1厅1卫,海淀,大慧寺租房,59平,南北,楼层上部/5层,7800元/月,整租
173840327,清河牛奶厂 1室1厅1卫,海淀,清河租房,42平,南,楼层中部/4层,3600元/月,整租
172412657,安华西里三区 2室1厅1卫,朝阳,安贞租房,53平,南,楼层上部/6层,2400元/月,整租
173879242,北洼西里 2室2厅1卫,海淀,紫竹桥租房,100平,西南,楼层下部/18层,8500元/月,整租
173200787,安华西里一区 2室1厅1卫,朝阳,安贞租房,66平,西南,楼层上部/11层,6600元/月,整租
172483493,上京新航线 2室1厅1卫,朝阳,望京租房,83平,南,楼层下部/26层,8300元/月,整租
172726914,安华里一区 2室1厅1卫,朝阳,安贞租房,50平,南北,楼层下部/6层,6300元/月,整租
172932901,望京西园三区 1室1厅1卫,朝阳,望京租房,87平,南,楼层上部/22层,7500元/月,整租
171814315,新龙城    2室1厅1卫,昌平,回龙观租房,100平,南北,楼层中部/20层,6000元/月,整租
173758438,马连道中里一区 1室1厅1卫,西城,马连道租房,58平,南北,楼层下部/12层,4600元/月,整租
172842254,二七剧场路19号楼 1室1厅1卫,西城,复兴门租房,43平,南,楼层上部/23层,5500元/月,整租
173011004,北京北小区 2室1厅0卫,昌平,立水桥租房,81平,东南,楼层下部/20层,8500元/月,整租
171994092,望京西园三区 3室1厅2卫,朝阳,望京租房,152平,南,楼层中部/24层,3200元/月,合租
172745151,华龙美钰 2室1厅1卫,西城,右安门租房,61平,西南,楼层下部/23层,6400元/月,整租
172726841,安华西里一区 2室1厅1卫,朝阳,安贞租房,50平,南,楼层中部/21层,6500元/月,整租
172726891,安华西里二区 3室1厅1卫,朝阳,安贞租房,67平,东,楼层上部/6层,8800元/月,整租
172726900,安华西里三区 2室1厅1卫,朝阳,安贞租房,52平,南北,楼层下部/6层,5700元/月,整租
172640496,三义里    2室1厅1卫,西城,马连道租房,62平,东南,楼层下部/14层,6500元/月,整租
172615590,望京西园一区 1室1厅1卫,朝阳,望京租房,56平,南,楼层上部/28层,6500元/月,整租
172726953,安华里四区 3室1厅1卫,朝阳,安贞租房,72平,东,楼层中部/14层,8500元/月,整租
170294011,上京新航线 2室1厅2卫,朝阳,望京租房,97平,南,楼层下部/26层,2700元/月,合租
170909679,望馨园    2室1厅1卫,朝阳,望京租房,88平,南,楼层下部/28层,2500元/月,合租
172732253,里仁街6号院 2室1厅1卫,西城,陶然亭租房,49平,东北,楼层中部/6层,5700元/月,整租
173261874,慧谷阳光 3室1厅2卫,朝阳,望京租房,127平,南,楼层下部/12层,2800元/月,合租
173459575,利泽西园 1室1厅1卫,朝阳,望京租房,90平,东西,楼层下部/7层,2200元/月,合租
173261919,宝星园    3室1厅1卫,朝阳,望京租房,125平,南,楼层下部/19层,2800元/月,合租
172338117,龙跃苑二区 2室1厅1卫,昌平,回龙观租房,96平,北,楼层下部/6层,1600元/月,合租
171959888,宝星华庭 3室1厅2卫,朝阳,望京租房,150平,东西,楼层下部/14层,23000元/月,整租
173909743,龙跃苑四区 3室1厅1卫,昌平,回龙观租房,111平,南北,楼层上部/6层,1500元/月,整租
173909744,龙跃苑四区 3室2厅2卫,昌平,回龙观租房,124平,北,楼层中部/6层,1500元/月,整租
173280175,丽阳四季 2室1厅1卫,西城,马连道租房,82平,东北,楼层下部/23层,7200元/月,整租
168775644,物资部大院 1室1厅1卫,西城,月坛租房,58平,南北,楼层上部/6层,7000元/月,整租
173910909,天恒乐活城北区 3室2厅2卫,房山,阎村租房,173平,南北,楼层中部/5层,6000元/月,整租
172766054,铁二区    2室1厅1卫,西城,月坛租房,51平,东南,楼层上部/18层,7000元/月,整租
167521436,望京花园西区 2室1厅1卫,朝阳,望京租房,83平,西南,楼层上部/24层,2600元/月,整租
173176014,北纬40度一期 2室1厅2卫,朝阳,望京租房,84平,南,楼层下部/12层,2700元/月,合租
165745378,上京新航线 1室1厅1卫,朝阳,望京租房,45平,东,楼层上部/26层,5500元/月,整租
173870480,千禧家园 3室2厅2卫,房山,阎村租房,121平,南北,楼层中部/6层,2500元/月,整租
173471288,利泽西园 1室1厅1卫,朝阳,望京租房,65平,东南,楼层中部/24层,5800元/月,整租
167363953,雅特住区 1室1厅1卫,朝阳,望京租房,58平,南,楼层上部/16层,5200元/月,整租
173845667,吉晟别墅 4室2厅2卫,昌平,回龙观租房,236平,南北,楼层下部/4层,16700元/月,整租
167423808,华彩国际公寓 1室1厅1卫,朝阳,望京租房,59平,南,楼层下部/18层,7200元/月,整租
167423902,望京花园西区 1室1厅1卫,朝阳,望京租房,85平,南,楼层下部/24层,2100元/月,合租
166795571,天通苑中苑 3室1厅1卫,昌平,天通苑租房,158平,西南,楼层下部/15层,6200元/月,整租
173261631,上京新航线 1室1厅1卫,朝阳,望京租房,45平,东南,楼层下部/26层,5800元/月,整租
170907246,龙腾苑四区 1室0厅1卫30.0平米,昌平,回龙观租房,30平,南,楼层上部/6层,2800元/月,整租
173609349,天通苑中苑 3室2厅2卫,昌平,天通苑租房,155平,,楼层下部/15层,1500元/月,整租
173854692,北辰机械厂职工宿舍 2室1厅1卫,海淀,西三旗租房,75平,南,楼层下部/6层,4600元/月,整租
167373660,澳洲康都 1室1厅1卫,朝阳,望京租房,67平,南,楼层上部/28层,6400元/月,整租
171811028,羊肉胡同 3室1厅1卫,西城,阜成门租房,86平,南北,楼层上部/6层,9500元/月,整租
157075674,北纬40度二期 2室2厅1卫,朝阳,望京租房,96平,南北,楼层下部/29层,2700元/月,合租
159015027,丰汇园小区 4室2厅2卫,西城,金融街租房,191平,西南,楼层上部/6层,26000元/月,整租
168433374,绿城百合公寓栖霞苑 3室2厅2卫,房山,阎村租房,129平,南北,楼层中部/4层,3300元/月,整租
173798786,宝星园    2室1厅1卫,朝阳,望京租房,105平,南,楼层中部/26层,11500元/月,整租
173678887,红莲晴园 3室1厅2卫,西城,马连道租房,144平,南,楼层中部/26层,10000元/月,整租
173580919,龙跃苑三区 2室2厅1卫,昌平,回龙观租房,106平,北,楼层中部/6层,1700元/月,合租
173418260,龙跃苑二区 1室0厅0卫,昌平,回龙观租房,210平,南,楼层上部/6层,2000元/月,合租
173344205,世纪金色嘉园 3室2厅2卫,丰台,右安门外租房,146平,东南,楼层中部/28层,12500元/月,整租
173893755,燕化星城健德二里 2室1厅1卫,房山,阎村租房,76平,南北,楼层上部/6层,1900元/月,整租
173821391,绿城百合公寓风荷苑 3室2厅2卫,房山,阎村租房,117平,南北,楼层中部/5层,3500元/月,整租
173893880,燕化星城健德二里 2室1厅1卫,房山,阎村租房,76平,东南,楼层上部/6层,1900元/月,整租
173487694,燕化星城健德二里 2室1厅1卫,房山,阎村租房,77平,西北,楼层上部/6层,2000元/月,整租
173877646,月坛北街 1室1厅1卫,西城,月坛租房,36平,东北,楼层下部/11层,6000元/月,整租
173848595,东兴小区 2室0厅0卫,顺义,顺义城租房,78平,南北,楼层中部/6层,3300元/月,整租
173734347,慧谷阳光 1室0厅1卫,朝阳,望京租房,53平,北,楼层下部/16层,6000元/月,整租
173341978,中海雅园 4室2厅2卫,海淀,紫竹桥租房,205平,东南,楼层中部/9层,20000元/月,整租
172368173,塞纳维拉水景别墅 9室3厅3卫,昌平,立水桥租房,319平,南,楼层中部/6层,39000元/月,整租
172726872,安华西里三区 1室1厅1卫,朝阳,安贞租房,42平,南,楼层上部/6层,5500元/月,整租
173517698,车道沟10号 3室1厅1卫,海淀,车道沟租房,76平,南北,楼层上部/6层,7300元/月,整租
173262028,南湖东园一区 3室1厅2卫,朝阳,望京租房,126平,南,楼层上部/28层,2700元/月,合租
