id,digest,ab_add2,ab_add3,size,chaoxiang,level,price,rent_type
38296294,1室1厅·57.23平米·西南·中楼层/22层,惠新西街 胜古家园 · 距离地铁和平西桥514米,5800,整租
39005914,2室1厅·67.45平米·南北·中楼层/6层·精装,天通苑 天通苑本三区 · 距离地铁天通苑南974米,4500,整租
38804703,2室1厅·93.66平米·东北·低楼层/24层·精装,百子湾 沿海赛洛城二期 · 距离地铁百子湾666米,7300,整租
39141231,1室1厅·43.75平米·南·低楼层/16层·精装,双榆树 双榆树北里 · 距离地铁人民大学559米,5500,整租
37600472,1室1厅·65平米·南·低楼层/28层·精装,临河里 华业东方玫瑰 · 距离地铁临河里51米,3300,整租
36721174,3室1厅·158平米·南北·中楼层/15层·精装,天通苑 天通苑中苑,1500,整租
39496361,3室1厅·109.22平米·南·中楼层/18层·精装,白纸坊 建功北里五区 · 距离地铁广安门内1320米,2300,整租
38923492,2室1厅·54.13平米·南北·高楼层/5层·简装,建国门外 灵通观 · 距离地铁永安里507米,6300,整租
38781120,3室1厅·68.74平米·东西·中楼层/6层·中装,安贞 安华里五区 · 距离地铁安华桥956米,7500,整租
38562218,1室1厅·44.53平米·东·高楼层/6层,天宁寺 天宁寺西里 · 距离地铁达官营798米,4100,整租
37916335,2室1厅·82.73平米·西北·高楼层/5层·精装,西单 力学胡同 · 距离地铁西单712米,10500,整租
39354909,2室2厅·106.53平米·北·中楼层/6层·精装,回龙观 龙跃苑三区 · 距离地铁霍营836米,1700,整租
39233887,2室1厅·71.78平米·东·中楼层/26层·精装,新华大街 财富东方 · 距离地铁通州北关875米,4000,整租
38988636,3室1厅·130.21平米·北·中楼层/6层·精装,天通苑 天通苑北三区,1700,整租
39525646,1室1厅·57.51平米·东·低楼层/6层·精装,北京南站 开阳里七区 · 距离地铁北京南站541米,5000,整租
39096159,1室1厅·45.3平米·南·中楼层/6层·精装,中关村 东南小区 · 距离地铁知春里444米,5300,整租
37782623,3室2厅·145平米·南北·中楼层/6层,天通苑 天通苑中苑,6000,整租
