id,digest,ab_add2,ab_add3,size,chaoxiang,level,price,rent_type
39452167,2室1厅·58.21平米·南北·高楼层/6层·中装,"['惠新西街 安苑东里一区 ', ' 距离地铁惠新西街北口638米']",6000,整租
39430712,2室1厅·118.4平米·南·低楼层/11层·简装,"['北苑 北苑家园绣菊园 ', ' 距离地铁北苑820米']",17000,整租
39427495,1室1厅·50.3平米·东·低楼层/12层·精装,"['金融街 丰汇园小区 ', ' 距离地铁灵境胡同577米']",6800,整租
39416299,1室1厅·33.68平米·东·中楼层/6层·中装,['白纸坊 南菜园1号院'],3500,整租
39416215,2室1厅·84.9平米·南北·中楼层/26层·中装,"['九棵树(家乐福) 瑞都国际 ', ' 距离地铁九棵树418米']",6000,整租
39399417,2室1厅·70.66平米·南·低楼层/19层·精装,"['安贞 安贞里一区 ', ' 距离地铁安贞门276米']",6500,整租
39396503,2室1厅·85.27平米·西南·低楼层/24层·简装,"['望京 望京花园西区 ', ' 距离地铁东湖渠430米']",7300,整租
39387715,3室1厅·142平米·南北·低楼层/13层·精装,"['天通苑 天通苑北一区 ', ' 距离地铁天通苑314米']",6800,整租
39385886,1室1厅·58.01平米·东南·低楼层/17层·精装,"['右安门内 白纸坊西街 ', ' 距离地铁陶然亭1192米']",5000,整租
39368068,2室1厅·59.6平米·南·中楼层/17层·豪装,"['德胜门 新明胡同 ', ' 距离地铁积水潭1144米']",7000,整租
39571282,3室1厅·79.02平米·东南·中楼层/16层·毛坯,"['安贞 安贞西里三区 ', ' 距离地铁安华桥238米']",8000,整租
39559323,3室1厅·118平米·南北·中楼层/6层·精装,"['回龙观 龙腾苑六区 ', ' 距离地铁回龙观420米']",7000,整租
39557519,2室1厅·75.35平米·南·中楼层/6层·中装,"['良乡 花园巷小区 ', ' 距离地铁良乡南关1358米']",2500,整租
39556039,2室1厅·65.37平米·南北·低楼层/6层·中装,['房山城关 房山西大街甲10号'],1600,整租
39551290,2室2厅·106.03平米·南·中楼层/30层·中装,"['望京 融科橄榄城 ', ' 距离地铁望京东660米']",13000,整租
39551105,2室2厅·109.47平米·东西·中楼层/20层·精装,"['双井 天之骄子 ', ' 距离地铁双井356米']",11500,整租
39550809,2室1厅·82.38平米·东南·低楼层/16层·精装,"['崇文门 国瑞城中区 ', ' 距离地铁崇文门585米']",7700,整租
39547660,1室1厅·45.27平米·南北·低楼层/6层·中装,"['长椿街 思源胡同 ', ' 距离地铁菜市口739米']",5000,整租
39544043,1室1厅·53.66平米·东·低楼层/25层·精装,"['百子湾 沿海赛洛城五期 ', ' 距离地铁百子湾1079米']",5800,整租
39542336,1室1厅·52.07平米·东·高楼层/21层·中装,"['望京 炫彩嘉轩 ', ' 距离地铁望京东761米']",7000,整租
39542010,1室1厅·62.97平米·南·中楼层/21层·精装,"['管庄 柏林爱乐三期 ', ' 距离地铁黄渠880米']",5100,整租
39541087,1室1厅·64.09平米·南·中楼层/18层·精装,"['大望路 后现代城 ', ' 距离地铁大郊亭671米']",6900,整租
39540933,2室1厅·57平米·东南·低楼层/12层·简装,"['垡头 垡头西里 ', ' 距离地铁欢乐谷景区1196米']",4500,整租
39539750,3室1厅·77.7平米·南北·低楼层/14层·简装,"['金融街 中京畿道17号 ', ' 距离地铁西单770米']",11000,整租
39539675,1室1厅·57.36平米·东南·中楼层/21层·精装,"['牛街 牛街东里 ', ' 距离地铁广安门内698米']",5000,整租
39539308,2室1厅·58.7平米·南北·中楼层/6层·简装,"['天宁寺 白菜湾社区 ', ' 距离地铁达官营1065米']",5000,整租
39532533,1室1厅·58.6平米·南北·中楼层/17层·精装,"['紫竹桥 车道沟南里 ', ' 距离地铁慈寿寺952米']",5600,整租
39531755,2室1厅·79.81平米·南北·中楼层/6层·中装,"['回龙观 北郊农场宿舍 ', ' 距离地铁龙泽893米']",5000,整租
39531169,2室1厅·93.4平米·南北·低楼层/21层·精装,"['陶然亭 中信锦园 ', ' 距离地铁菜市口545米']",12000,整租
39530801,1室1厅·43.58平米·南·低楼层/16层·中装,"['安贞 安华西里三区 ', ' 距离地铁安华桥659米']",5300,整租
39530607,4室2厅·189.75平米·南北·低楼层/24层·精装,"['黄村北 新里西斯莱公馆 ', ' 距离地铁黄村西大街743米']",12000,整租
39529513,2室1厅·78.2平米·南北·低楼层/6层·精装,"['良乡 西潞园三里 ', ' 距离地铁苏庄635米']",3500,整租
39528954,3室2厅·133.98平米·南北·中楼层/6层·精装,['窦店 世界名园B区'],2100,整租
39528454,2室1厅·57.5平米·南北·高楼层/6层·中装,"['甘家口 西三环北路82号院 ', ' 距离地铁花园桥511米']",6500,整租
39446611,3室2厅·137.05平米·南北·中楼层/12层·精装,"['黄村北 新里西斯莱公馆 ', ' 距离地铁黄村西大街743米']",8000,整租
39065079,4室1厅·142.1平米·南北·中楼层/6层·精装,"['西四 大拐棒胡同 ', ' 距离地铁西四412米']",18000,整租
39248114,2室1厅·50.07平米·南·中楼层/5层·豪装,"['CBD 南郎家园 ', ' 距离地铁国贸546米']",3700,整租
39475507,2室1厅·55.27平米·南北·高楼层/6层·简装,"['安贞 安华里五区 ', ' 距离地铁安华桥956米']",6000,整租
39330285,2室1厅·58.26平米·南·高楼层/6层·中装,"['国展 柳芳南里 ', ' 距离地铁柳芳616米']",6000,整租
39320883,1室1厅·40.69平米·北·低楼层/21层·中装,"['双井 时代国际 ', ' 距离地铁双井343米']",6000,整租
39277410,1室1厅·53.12平米·南·低楼层/18层·精装,"['中关村 荣上居 ', ' 距离地铁知春路413米']",5800,整租
39273837,3室1厅·86.2平米·南北·中楼层/4层·精装,"['中关村 科育小区 ', ' 距离地铁中关村481米']",9500,整租
39269068,2室1厅·59.6平米·东西·高楼层/7层·中装,"['西直门 西直门北大街43号院 ', ' 距离地铁西直门769米']",5900,整租
39268655,2室1厅·62.47平米·西北·低楼层/16层·中装,"['安贞 安华里五区 ', ' 距离地铁安华桥956米']",5200,整租
39266869,1室1厅·93.84平米·南·中楼层/28层·精装,"['武夷花园 运河明珠 ', ' 距离地铁北运河西336米']",6000,整租
39249576,1室1厅·43.1平米·南·中楼层/6层·中装,"['六铺炕 什坊街 ', ' 距离地铁安华桥1077米']",5000,整租
39234066,2室1厅·90.9平米·南·中楼层/21层·精装,"['望京 炫彩嘉轩 ', ' 距离地铁望京东761米']",3500,整租
39172679,2室1厅·98.59平米·南北·低楼层/16层·中装,"['草桥 玉芳园 ', ' 距离地铁草桥623米']",6500,整租
39145850,2室1厅·64.2平米·南北·低楼层/6层·精装,"['望京 望京路3号院 ', ' 距离地铁阜通126米']",6500,整租
39143113,2室1厅·57.4平米·南·中楼层/14层·精装,"['双榆树 双榆树东里 ', ' 距离地铁知春里935米']",6800,整租
39143109,2室1厅·59.43平米·西南·高楼层/16层·精装,"['双榆树 双榆树北里 ', ' 距离地铁人民大学559米']",7200,整租
39128108,2室1厅·64.59平米·南北·中楼层/6层·简装,"['右安门内 信建里 ', ' 距离地铁陶然亭509米']",5000,整租
39068041,2室1厅·95.7平米·南·低楼层/24层·中装,"['亚运村小营 亚运豪庭 ', ' 距离地铁关庄921米']",7500,整租
39056171,2室1厅·112.7平米·东南·高楼层/21层·精装,"['德胜门 阳光丽景 ', ' 距离地铁安华桥764米']",14200,整租
39050414,3室2厅·141.63平米·南北·低楼层/12层·精装,"['望京 国风北京 ', ' 距离地铁望京东991米']",15000,整租
39526803,5室1厅·214.1平米··高楼层/7层·豪装,"['金融街 丰汇园小区 ', ' 距离地铁灵境胡同577米']",50000,整租
39525666,2室2厅·126.28平米·南·中楼层/19层·精装,"['中关村 远中悦莱国际酒店公寓 ', ' 距离地铁苏州街383米']",15000,整租
39525543,4室1厅·69.63平米·南北·中楼层/5层·精装,"['陶然亭 北纬路52号院 ', ' 距离地铁虎坊桥903米']",5500,整租
39524146,2室1厅·83.44平米·南·高楼层/16层·精装,"['常营 北辰福第中区 ', ' 距离地铁常营375米']",6500,整租
