id,area,address,information,distance_from_subway,price,feature
60846219,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['87.64㎡', '9/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖', '清语']"
60846247,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['88.81㎡', '9/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖', '清语']"
60846310,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['87.64㎡', '9/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖', '清语']"
60846112,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['89.28㎡', '11/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖', '清语']"
60846974,西局欣园南区4居室-南卧,[丰台七里庄] 14号线七里庄,"['26㎡', '14/15层', '4室1厅', '合']",距14号线七里庄站256米,￥3190(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60850583,BOBO自由城2居室-南北,[通州武夷花园] 6号线北运河东,"['123㎡', '3/5层', '2室1厅', '整']",距6号线北运河东站833米,￥6460(每月),"['离地铁近', '集体供暖', '清语']"
60875423,通泰国际公馆1居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['70.31㎡', '3/14层', '1室1厅', '直']",距亦庄线经海路站100米,￥4760(每月),"['离地铁近', '集体供暖']"
60858802,方恒东景1居室-南,[通州梨园] 八通线土桥,"['54.58㎡', '8/29层', '1室1厅', '直']",距八通线土桥站78米,￥3330(每月),"['离地铁近', '独立阳台', '集体供暖']"
60861031,瑞祥里2居室-南,[朝阳管庄] 八通线管庄,"['81㎡', '5/6层', '2室1厅', '整']",距八通线管庄站798米,￥5060(每月),"['离地铁近', '独立供暖', '清语']"
60869639,洋桥职工住宅2居室-南北,[丰台角门] 10号线角门东,"['111.69㎡', '7/17层', '2室1厅', '直']",距10号线角门东站253米,￥7290(每月),"['离地铁近', '集体供暖']"
60878921,金泰先锋南区2居室-南,[朝阳百子湾] 7号线百子湾,"['92.17㎡', '12/18层', '2室1厅', '直']",距7号线百子湾站164米,￥8500(每月),"['离地铁近', '集体供暖']"
60854992,模式口北里3居室-南卧,[石景山苹果园] 1号线苹果园,"['20.77㎡', '2/3层', '3室1厅', '合']",距1号线苹果园站1221米,￥2060(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60847462,宝星国际二期2居室-南北,[朝阳望京] 15号线望京东,"['108.87㎡', '23/25层', '2室1厅', '直']",距15号线望京东站395米,￥10000(每月),['离地铁近']
60782239,润泽公馆2居室-南,[朝阳北苑] 13号线北苑,"['106.66㎡', '5/23层', '2室1厅', '整']",距13号线北苑站1255米,￥8230(每月),"['离地铁近', '独卫', '集体供暖', '清语']"
60767571,金汉绿港四区4居室-南卧,[顺义顺义城] 15号线顺义,"['17.2㎡', '3/20层', '4室1厅', '合']",距15号线顺义站780米,￥2130(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60850318,西马庄园2居室-南北,[通州通州北苑] 八通线通州北苑,"['75.87㎡', '3/6层', '2室1厅', '整']",距八通线通州北苑站1114米,￥4890(每月),"['离地铁近', '集体供暖', '清语']"
60862060,花园闸小区2居室-南北,[朝阳定福庄] 八通线传媒大学,"['57.52㎡', '5/6层', '2室1厅', '整']",距八通线传媒大学站414米,￥5360(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60880935,K2玉蘭湾2居室-南,[通州通州其它] 八通线九棵树,"['92㎡', '3/27层', '2室1厅', '整']",距八通线九棵树站279米,￥7190(每月),"['离地铁近', '集体供暖', '清语']"
60870696,新源时代2居室-南北,[大兴大兴其它] 4号线生物医药基地,"['89.66㎡', '1/18层', '2室1厅', '整']",距4号线生物医药基地站495米,￥4330(每月),"['离地铁近', '集体供暖', '清语']"
60874607,瑞祥里2居室-南北,[朝阳管庄] 八通线管庄,"['80.22㎡', '3/6层', '2室1厅', '整']",距八通线管庄站798米,￥5290(每月),"['离地铁近', '独立供暖', '清语']"
60821837,首开常青藤一期2居室-南,[朝阳东坝] ,"['92㎡', '2/6层', '2室1厅', '整']",,￥6860(每月),"['独立供暖', '优格']"
60827820,海棠湾二期2居室-南北,[通州梨园] 八通线临河里,"['84.47㎡', '13/26层', '2室1厅', '直']",距八通线临河里站1223米,￥5500(每月),"['离地铁近', '独立阳台', '集体供暖']"
60850318,西马庄园2居室-南北,[通州通州北苑] 八通线通州北苑,"['75.87㎡', '3/6层', '2室1厅', '整']",距八通线通州北苑站1114米,￥4890(每月),"['离地铁近', '集体供暖', '清语']"
60857372,双裕小区3居室-南卧,[顺义后沙峪] 15号线后沙峪,"['17.5㎡', '2/6层', '3室1厅', '合']",距15号线后沙峪站1110米,￥2390(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60866129,新建村3居室-南卧,[通州北关] 6号线物资学院路,"['13㎡', '4/9层', '3室1厅', '合']",距6号线物资学院路站601米,￥2460(每月),"['离地铁近', '集体供暖', '友家4.0 拿铁']"
60834715,永达逸家2居室-南北,[海淀田村] 6号线海淀五路居,"['101.98㎡', '15/15层', '2室1厅', '直']",距6号线海淀五路居站1852米,￥7200(每月),"['离地铁近', '集体供暖']"
60846275,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约87.64㎡', '10/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '独立供暖']"
60846281,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约88.81㎡', '10/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖']"
60846265,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约87.64㎡', '11/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖']"
60846259,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约88.81㎡', '11/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖']"
60846241,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约87.64㎡', '12/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖']"
60846235,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约88.81㎡', '12/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖']"
60846213,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约87.64㎡', '13/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖']"
60846201,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['约88.81㎡', '13/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖']"
60848341,保利茉莉公馆2居室-南,[大兴黄村] 4号线高米店北,"['91.11㎡', '8/27层', '2室1厅', '整']",距4号线高米店北站288米,￥6490(每月),"['离地铁近', '集体供暖', '清语']"
60770223,蝶翠华庭2居室-东南,[西城广安门] 7号线达官营,"['94.41㎡', '10/29层', '2室1厅', '整']",距7号线达官营站629米,￥8360(每月),"['离地铁近', '独立供暖']"
60848681,金台里2居室-南,[朝阳红庙] 6号线金台路,"['51.05㎡', '3/6层', '2室1厅', '整']",距6号线金台路站362米,￥6530(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60846820,双花园西里4居室-南卧,[朝阳广渠门] 7号线广渠门外,"['17.4㎡', '4/6层', '4室1厅', '合']",距7号线广渠门外站619米,￥3390(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60877770,远洋天地一期2居室-东南,[朝阳四惠] 1号线四惠,"['116.43㎡', '10/13层', '2室1厅', '直']",距1号线四惠站505米,￥11500(每月),"['离地铁近', '集体供暖']"
60814166,京师园4居室-南卧,[朝阳奥林匹克公园] 8号线林萃桥,"['14.7㎡', '5/21层', '4室1厅', '合']",距8号线林萃桥站522米,￥3990(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60853121,南礼士路甲62号院2居室-南北,[西城月坛] 1号线南礼士路,"['56.5㎡', '5/6层', '2室1厅', '整']",距1号线南礼士路站202米,￥7590(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60824087,古城南路1居室-南,[石景山古城] 1号线古城,"['36.88㎡', '9/9层', '1室1厅', '整']",距1号线古城站174米,￥4030(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60855437,沿海赛洛城1居室-东南,[朝阳百子湾] 7号线百子湾,"['70.84㎡', '4/18层', '1室1厅', '整']",距7号线百子湾站510米,￥6590(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60854039,紫金印象1居室-南,[西城右安门内] 4号线陶然亭,"['53.22㎡', '16/18层', '1室1厅', '整']",距4号线陶然亭站952米,￥5890(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60862805,枫竹苑二区3居室-南卧,[丰台马家堡] 4号线公益西桥,"['13.1㎡', '2/16层', '3室1厅', '合']",距4号线公益西桥站243米,￥2830(每月),"['离地铁近', '独立供暖', '友家4.0 拿铁']"
