id,area,address,information,distance_from_subway,price,feature
60886643,华业东方玫瑰2居室-南北,[通州临河里] 八通线临河里,"['90㎡', '19/27层', '2室1厅', '直']",距八通线临河里站752米,￥4800(每月),"['离地铁近', '集体供暖', '原味']"
60859818,拓然家苑4居室-南卧,[昌平沙河] 昌平线昌平站,"['18.9㎡', '6/14层', '4室1厅', '合']",距昌平线昌平站站1861米,￥2290(每月),"['离地铁近', '独卫', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60863115,定慧福里2居室-南北,[海淀定慧寺] 6号线海淀五路居,"['97.88㎡', '6/17层', '2室1厅', '整']",距6号线海淀五路居站428米,￥9090(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60828820,京贸国际城西区2居室-南北,[通州武夷花园] 6号线通运门,"['94㎡', '8/40层', '2室1厅', '直']",距6号线通运门站1299米,￥5500(每月),"['离地铁近', '集体供暖', '原味']"
60885099,安河家园4居室-南卧,[海淀海淀北部新区] 16号线北安河,"['15㎡', '1/13层', '4室1厅', '合']",距16号线北安河站392米,￥2160(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60850318,西马庄园2居室-南北,[通州通州北苑] 八通线通州北苑,"['75.87㎡', '3/6层', '2室1厅', '整']",距八通线通州北苑站1114米,￥4890(每月),"['离地铁近', '集体供暖', '清语']"
60876191,首开国风美唐三期3居室-南卧,[昌平回龙观] 13号线霍营,"['15.8㎡', '3/18层', '3室1厅', '合']",距13号线霍营站429米,￥3190(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60863039,裕中东里3居室-南卧,[西城马甸] 8号线安华桥,"['29.5㎡', '3/16层', '3室1厅', '合']",距8号线安华桥站255米,￥4590(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60407497,建邦枫景2居室-南北,[丰台青塔] 14号线郭庄子,"['108㎡', '2/9层', '2室1厅', '直']",距14号线郭庄子站165米,￥6750(每月),"['离地铁近', '独卫', '集体供暖']"
60872223,安装宿舍1居室-南,[海淀定慧寺] 6号线海淀五路居,"['56.1㎡', '2/6层', '1室1厅', '直']",距6号线海淀五路居站175米,￥5500(每月),"['离地铁近', '独立阳台', '集体供暖', '原味']"
60888551,世华泊郡2居室-南,[朝阳北苑] 5号线立水桥,"['85.17㎡', '11/27层', '2室1厅', '整']",距5号线立水桥站1051米,￥7330(每月),"['离地铁近', '集体供暖', '清语']"
