id,area,address,information,distance_from_subway,price,feature
60874970,国际花园4居室-南卧,[房山长阳] 房山线篱笆房,"['16.2㎡', '6/18层', '4室1厅', '合']",距房山线篱笆房站1166米,￥1660(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60872744,保利茉莉公馆2居室-南,[大兴黄村] 4号线高米店北,"['85.32㎡', '2/17层', '2室1厅', '直']",距4号线高米店北站288米,￥5830(每月),"['离地铁近', '独立阳台', '集体供暖', '原味']"
60859771,万年花城四期4居室-南卧,[丰台玉泉营] 10号线首经贸,"['19.2㎡', '3/10层', '4室1厅', '合']",距10号线首经贸站423米,￥2890(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60845779,通泰国际公馆2居室-南卧,[亦庄开发区亦庄] 亦庄线经海路,"['11.15㎡', '4/15层', '2室1厅', '合']",距亦庄线经海路站100米,￥3030(每月),"['离地铁近', '集体供暖', '友家4.0 拿铁']"
60870305,通惠家园3居室-南卧,[朝阳四惠] 1号线四惠东,"['14㎡', '4/5层', '3室1厅', '合']",距1号线四惠东站350米,￥2990(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60746302,强佑清河新城4居室-南卧,[海淀上地] 8号线永泰庄,"['15.3㎡', '6/27层', '4室1厅', '合']",距8号线永泰庄站1072米,￥3690(每月),"['离地铁近', '独卫', '独立阳台', '集体供暖', '友家4.0 木棉']"
60874546,紫金印象3居室-南卧,[西城右安门内] 4号线陶然亭,"['20.5㎡', '11/18层', '3室1厅', '合']",距4号线陶然亭站952米,￥4290(每月),"['离地铁近', '独卫', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60876068,芳古园一区2居室-南,[丰台方庄] 14号线蒲黄榆,"['56.3㎡', '8/14层', '2室1厅', '直']",距14号线蒲黄榆站326米,￥5800(每月),"['离地铁近', '独立阳台', '集体供暖', '原味']"
60863351,潘家园东里2居室-南,[朝阳潘家园] 10号线潘家园,"['68.92㎡', '13/18层', '2室1厅', '整']",距10号线潘家园站505米,￥6390(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60809884,金泰丽湾悦栖山2居室-南,[门头沟大峪] ,"['97㎡', '3/19层', '2室1厅', '直']",,￥4590(每月),['集体供暖']
60826400,车公庄西路35号院2居室-南,[海淀紫竹桥] 6号线花园桥,"['46.7㎡', '4/5层', '2室1厅', '整']",距6号线花园桥站157米,￥6390(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60868061,芳城园三区2居室-东南,[丰台方庄] 14号线方庄,"['84.43㎡', '6/25层', '2室1厅', '整']",距14号线方庄站402米,￥6290(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60850583,BOBO自由城2居室-南北,[通州武夷花园] 6号线北运河西,"['123㎡', '3/5层', '2室1厅', '整']",距6号线北运河西站833米,￥6460(每月),"['离地铁近', '集体供暖', '清语']"
60570864,金色漫香林二期2居室-南,[大兴大兴其它] ,"['150㎡', '2/4层', '2室2厅', '直']",,￥7000(每月),"['集体供暖', '原味']"
60864707,双裕小区3居室-南卧,[顺义后沙峪] 15号线后沙峪,"['10.3㎡', '3/5层', '3室1厅', '合']",距15号线后沙峪站1110米,￥2330(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60759830,广华轩4居室-南卧,[西城广安门] 7号线达官营,"['14㎡', '2/24层', '4室1厅', '合']",距7号线达官营站553米,￥2890(每月),"['离地铁近', '集体供暖', '友家4.0 米苏']"
60746303,强佑清河新城4居室-南卧,[海淀上地] 8号线永泰庄,"['12㎡', '6/27层', '4室1厅', '合']",距8号线永泰庄站1072米,￥2560(每月),"['离地铁近', '集体供暖', '友家4.0 拿铁']"
60880295,珠江东都国际2居室-南北,[通州潞苑] ,"['93.66㎡', '9/18层', '2室1厅', '整']",,￥5460(每月),"['集体供暖', '清语']"
