id,area,address,information,distance_from_subway,price,feature
60882622,慧时欣园2居室-南,[丰台赵公口] 10号线石榴庄,"['121.03㎡', '21/26层', '2室1厅', '整']",距10号线石榴庄站159米,￥7360(每月),"['离地铁近', '独卫', '集体供暖', '整租4.0 清语']"
60846235,通泰国际公馆2居室-南北,[亦庄开发区亦庄] 亦庄线经海路,"['88.81㎡', '12/15层', '2室1厅', '整']",距亦庄线经海路站100米,￥5790(每月),"['离地铁近', '集体供暖', '整租4.0 清语']"
60878213,新华联家园南区2居室-南北,[通州果园] 八通线果园,"['95㎡', '5/6层', '2室1厅', '整']",距八通线果园站574米,￥5430(每月),"['离地铁近', '独立阳台', '集体供暖', '整租4.0 清语']"
60887528,保利春天里5居室-南卧,[大兴黄村] 4号线天宫院,"['11.6㎡', '8/27层', '5室1厅', '合']",距4号线天宫院站112米,￥1990(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60888253,保利春天里2居室-南卧,[大兴黄村] 4号线天宫院,"['11.1㎡', '4/24层', '2室1厅', '合']",距4号线天宫院站112米,￥2330(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60888252,保利春天里2居室-南卧,[大兴黄村] 4号线天宫院,"['13.3㎡', '4/24层', '2室1厅', '合']",距4号线天宫院站112米,￥2590(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60847273,枫竹苑二区3居室-南卧,[丰台马家堡] 4号线公益西桥,"['19.9㎡', '5/16层', '3室1厅', '合']",距4号线公益西桥站243米,￥2860(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60883169,万年花城三期4居室-南卧,[丰台玉泉营] 10号线首经贸,"['26.9㎡', '3/16层', '4室1厅', '合']",距10号线首经贸站442米,￥2890(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60890538,和光里4居室-南卧,[丰台五里店] 14号线郭庄子,"['17.7㎡', '7/10层', '4室1厅', '合']",距14号线郭庄子站725米,￥2590(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60883106,龙鼎园2居室-南,[通州九棵树家乐福] 八通线九棵树,"['112㎡', '6/11层', '2室1厅', '整']",距八通线九棵树站1547米,￥5360(每月),"['离地铁近', '独立阳台', '独立供暖', '整租4.0 优格']"
60879587,新通国际花园3居室-南卧,[通州玉桥] 八通线梨园,"['15.65㎡', '12/17层', '3室1厅', '合']",距八通线梨园站337米,￥2660(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60830896,和泰园2居室-南,[朝阳西坝河] 10号线太阳宫,"['141.83㎡', '11/18层', '2室1厅', '直']",距10号线太阳宫站369米,￥14500(每月),"['离地铁近', '独卫', '独立阳台', '独立供暖', '业主直租 ']"
60886930,新城阳光3居室-南卧,[通州梨园] 八通线梨园,"['21.5㎡', '1/14层', '3室1厅', '合']",距八通线梨园站445米,￥2960(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60887524,保利春天里5居室-南卧,[大兴黄村] 4号线天宫院,"['10.6㎡', '8/27层', '5室1厅', '合']",距4号线天宫院站112米,￥1790(每月),"['离地铁近', '集体供暖', '友家4.0 米苏']"
60892733,金隅万科城悦嘉公寓1居室-南,[昌平鼓楼大街] 昌平线昌平站,"['74.06㎡', '19/22层', '1室1厅', '直']",距昌平线昌平站站935米,￥4200(每月),"['离地铁近', '集体供暖', '业主直租 原味']"
60883166,万年花城三期4居室-南卧,[丰台玉泉营] 10号线首经贸,"['17.6㎡', '3/16层', '4室1厅', '合']",距10号线首经贸站442米,￥3430(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60877171,时尚街区西区2居室-西南,[通州梨园] 八通线梨园,"['77㎡', '10/10层', '2室1厅', '直']",距八通线梨园站359米,￥5500(每月),"['离地铁近', '集体供暖', '业主直租 原味']"
60898914,北店嘉园3居室-南卧,[昌平回龙观] 8号线育知路,"['15.1㎡', '4/7层', '3室1厅', '合']",距8号线育知路站828米,￥2690(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60819130,广华轩2居室-东南,[西城广安门] 7号线达官营,"['108.55㎡', '8/24层', '2室0厅', '整']",距7号线达官营站553米,￥8130(每月),"['离地铁近', '集体供暖', '整租4.0 优格']"
60900284,10AM新坐标1居室-南,[朝阳方庄] 14号线方庄,"['54.79㎡', '9/30层', '1室1厅', '整']",距14号线方庄站471米,￥5730(每月),"['离地铁近', '集体供暖', '整租4.0 优格']"
60893925,车站北里3居室-南卧,[大兴黄村] 4号线黄村火车站,"['11.2㎡', '4/6层', '3室1厅', '合']",距4号线黄村火车站站121米,￥1830(每月),"['离地铁近', '集体供暖', '友家4.0 拿铁']"
60802528,青年路小区2居室-南北,[朝阳定福庄] 6号线青年路,"['56.97㎡', '1/6层', '2室1厅', '整']",距6号线青年路站145米,￥6130(每月),"['离地铁近', '独立阳台', '集体供暖', '整租4.0 清语']"
60898378,苏荷时代1居室-西北,[通州果园] 八通线果园,"['65.44㎡', '22/24层', '1室1厅', '直']",距八通线果园站191米,￥4290(每月),"['离地铁近', '独立供暖', '业主直租 原味']"
60879336,小南庄社区2居室-南卧,[海淀苏州桥] 10号线苏州街,"['22.1㎡', '1/6层', '2室1厅', '合']",距10号线苏州街站1130米,￥4390(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60874716,紫荆园4居室-南卧,[通州武夷花园] 6号线郝家府,"['11.6㎡', '6/7层', '4室1厅', '合']",距6号线郝家府站2116米,￥1830(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 米苏']"
60570864,金色漫香林二期2居室-南,[大兴大兴其它] ,"['150㎡', '2/4层', '2室2厅', '直']",,￥7000(每月),"['集体供暖', '业主直租 原味']"
60884180,翠成馨园3居室-南卧,[朝阳欢乐谷] 7号线欢乐谷景区,"['18㎡', '2/14层', '3室1厅', '合']",距7号线欢乐谷景区站1869米,￥2790(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60885358,西局欣园南区4居室-南卧,[丰台七里庄] 9号线七里庄,"['28.5㎡', '7/17层', '4室1厅', '合']",距9号线七里庄站256米,￥3030(每月),"['离地铁近', '独立阳台', '友家4.0 木棉']"
60898013,K2清水湾2居室-南,[通州潞苑] 6号线通州北关,"['57.78㎡', '14/27层', '2室1厅', '整']",距6号线通州北关站1683米,￥4630(每月),"['离地铁近', '集体供暖', '整租4.0 优格']"
60846501,土桥plus3居室-东卧,[通州临河里] 八通线土桥,"['9.5㎡', '10/21层', '3室1厅', '合']",距八通线土桥站145米,￥1630(每月),"['离地铁近', '集体供暖', '友家4.0 米苏']"
60885064,武夷花园牡丹园4居室-南卧,[通州武夷花园] 6号线北运河西,"['17㎡', '3/6层', '4室1厅', '合']",距6号线北运河西站1948米,￥2390(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
