id,area,address,information,distance_from_subway,price,feature
60732458,北京上舍1居室-南,[东城广渠门] 7号线广渠门内,"['81.23㎡', '4/15层', '1室1厅', '整']",距7号线广渠门内站311米,￥6760(每月),"['离地铁近', '集体供暖', '清语']"
60847887,远洋山水4居室-南卧,[石景山鲁谷] 1号线八宝山,"['19.7㎡', '19/27层', '4室1厅', '合']",距1号线八宝山站800米,￥3890(每月),"['离地铁近', '独卫', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60783074,龙腾苑六区6居室-南卧,[昌平回龙观] 13号线回龙观,"['12.7㎡', '5/5层', '6室2厅', '合']",距13号线回龙观站448米,￥2890(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 布丁']"
60843298,新建村2居室-南,[通州北关] 6号线物资学院路,"['80.32㎡', '20/28层', '2室1厅', '直']",距6号线物资学院路站601米,￥5630(每月),"['离地铁近', '集体供暖']"
60800842,首城国际2居室-南北,[朝阳双井] 10号线劲松,"['90.5㎡', '8/28层', '2室1厅', '整']",距10号线劲松站715米,￥9460(每月),"['离地铁近', '集体供暖', '优格']"
60852358,远洋山水1居室-南,[石景山鲁谷] 1号线八宝山,"['76.87㎡', '12A/26层', '1室1厅', '整']",距1号线八宝山站800米,￥6090(每月),"['离地铁近', '集体供暖', '清语']"
60806439,京贸国际城东区2居室-南北,[通州武夷花园] 6号线通运门,"['74.26㎡', '12/18层', '2室1厅', '整']",距6号线通运门站1689米,￥4360(每月),"['离地铁近', '集体供暖', '优格']"
60866388,天通苑北三区3居室-南卧,[昌平天通苑] 5号线天通苑,"['16.2㎡', '4/6层', '3室1厅', '合']",距5号线天通苑站1710米,￥2230(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60817155,慧忠里2居室-南北,[朝阳亚运村] 15号线安立路,"['66.78㎡', '6/6层', '2室1厅', '整']",距15号线安立路站752米,￥6490(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60809884,金泰丽湾悦栖山2居室-南,[门头沟大峪] ,"['97㎡', '3/19层', '2室1厅', '直']",,￥4590(每月),['集体供暖']
60738094,左家庄北里2居室-南,[朝阳国展] 13号线柳芳,"['57.22㎡', '6/6层', '2室1厅', '整']",距13号线柳芳站719米,￥6230(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60790631,石园东区3居室-南卧,[顺义顺义城] 15号线顺义,"['21.1㎡', '5/6层', '3室1厅', '合']",距15号线顺义站2295米,￥1890(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 布丁']"
173762,天赐良园东三期4居室-南卧,[通州北关] 6号线物资学院路,"['16.4㎡', '3/5层', '4室1厅', '合']",距6号线物资学院路站195米,￥69(每天),"['离地铁近', '独立阳台', '集体供暖', '友家2.0 原味']"
60866386,天通苑北三区3居室-南卧,[昌平天通苑] 5号线天通苑,"['17.3㎡', '4/6层', '3室1厅', '合']",距5号线天通苑站1710米,￥2530(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60757639,华英园4居室-南卧,[顺义顺义其它] 15号线南法信,"['18.4㎡', '3/7层', '4室1厅', '合']",距15号线南法信站780米,￥2190(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60850583,BOBO自由城2居室-南北,[通州武夷花园] 6号线北运河西,"['123㎡', '3/5层', '2室1厅', '整']",距6号线北运河西站833米,￥6460(每月),"['离地铁近', '集体供暖', '清语']"
60570864,金色漫香林二期2居室-南,[大兴大兴其它] ,"['150㎡', '2/4层', '2室2厅', '直']",,￥7000(每月),"['集体供暖', '原味']"
60837601,石园南区3居室-南卧,[顺义顺义城] ,"['19.48㎡', '3/6层', '3室1厅', '合']",,￥1830(每月),"['独立阳台', '集体供暖', '友家4.0 木棉']"
60824301,西山奥园4居室-南卧,[石景山苹果园] 1号线苹果园,"['20.2㎡', '4/15层', '4室1厅', '合']",距1号线苹果园站1133米,￥2690(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60856992,马连店3居室-南卧,[昌平回龙观] 8号线平西府,"['12.5㎡', '6/28层', '3室1厅', '合']",距8号线平西府站326米,￥2990(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60857515,DBC加州小镇C区2居室-南北,[通州临河里] 八通线土桥,"['91㎡', '7/14层', '2室1厅', '整']",距八通线土桥站810米,￥4390(每月),"['离地铁近', '独立供暖', '清语']"
60853523,宝盛北里1居室-南,[海淀清河] 8号线永泰庄,"['55.04㎡', '2/6层', '1室1厅', '整']",距8号线永泰庄站1184米,￥5330(每月),"['离地铁近', '集体供暖', '清语']"
60821610,远大园六区2居室-东南,[海淀世纪城] 10号线车道沟,"['113.46㎡', '7/16层', '2室1厅', '直']",距10号线车道沟站613米,￥10500(每月),"['离地铁近', '集体供暖']"
60202552,云趣园一区4居室-南卧,[昌平回龙观] 8号线育知路,"['16.8㎡', '5/6层', '4室1厅', '合']",距8号线育知路站218米,￥2790(每月),"['离地铁近', '独卫', '独立供暖', '友家4.0 拿铁']"
60863012,天通苑北三区3居室-南卧,[昌平天通苑] 5号线天通苑,"['14.8㎡', '6/6层', '3室1厅', '合']",距5号线天通苑站1710米,￥2560(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60832721,观澳园3居室-南卧,[海淀清河] 8号线林萃桥,"['13.6㎡', '4/5层', '3室1厅', '合']",距8号线林萃桥站1276米,￥2990(每月),"['离地铁近', '独立阳台', '友家4.0 拿铁']"
60785607,西罗园一区2居室-南,[丰台洋桥] 14号线永定门外,"['52.4㎡', '5/6层', '2室1厅', '整']",距14号线永定门外站860米,￥5530(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60863014,天通苑北三区3居室-南卧,[昌平天通苑] 5号线天通苑,"['11.8㎡', '6/6层', '3室1厅', '合']",距5号线天通苑站1710米,￥2330(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60850776,东大桥路2居室-南,[朝阳东大桥] 1号线永安里,"['50.39㎡', '5/5层', '2室1厅', '整']",距1号线永安里站438米,￥7380(每月),"['离地铁近', '集体供暖', '优格']"
60793627,德露苑2居室-南北,[门头沟门头沟其它] ,"['83.15㎡', '4/6层', '2室1厅', '整']",,￥3890(每月),"['独立阳台', '集体供暖', '清语']"
60858791,UHN国际村2居室-东南,[朝阳西坝河] 10号线太阳宫,"['117.03㎡', '3/28层', '2室1厅', '整']",距10号线太阳宫站440米,￥12500(每月),"['离地铁近', '集体供暖', '清语']"
60801560,裕龙三区4居室-南卧,[顺义顺义城] 15号线顺义,"['17.2㎡', '21/22层', '4室1厅', '合']",距15号线顺义站1354米,￥2490(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60785481,枫竹苑二区3居室-南卧,[丰台马家堡] 4号线公益西桥,"['11.9㎡', '15/17层', '3室1厅', '合']",距4号线公益西桥站243米,￥2730(每月),"['离地铁近', '独立供暖', '友家4.0 拿铁']"
60777782,甘家口小区2居室-东,[海淀甘家口] 9号线白堆子,"['61.4㎡', '2/6层', '2室1厅', '整']",距9号线白堆子站396米,￥6690(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60765040,石园北区3居室-南卧,[顺义顺义城] 15号线顺义,"['22.4㎡', '1/6层', '3室1厅', '合']",距15号线顺义站1768米,￥1730(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60850621,中海金玺公馆2居室-南,[石景山古城] 1号线古城,"['88.02㎡', '11/20层', '2室2厅', '整']",距1号线古城站1147米,￥5890(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60832390,海特花园小区3居室-南卧,[石景山苹果园] 1号线苹果园,"['9.89㎡', '7/7层', '3室1厅', '合']",距1号线苹果园站1079米,￥1890(每月),"['离地铁近', '集体供暖', '友家4.0 布丁']"
60782239,润泽公馆2居室-南,[朝阳北苑] 13号线北苑,"['106.66㎡', '5/23层', '2室1厅', '整']",距13号线北苑站1255米,￥8560(每月),"['离地铁近', '独卫', '集体供暖', '清语']"
60579947,中海金玺公馆2居室-南,[石景山古城] 1号线古城,"['88㎡', '17/17层', '2室1厅', '整']",距1号线古城站1147米,￥6090(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60803658,刘孟家园1居室-南,[丰台科技园区] 9号线丰台南路,"['55㎡', '1/22层', '1室1厅', '整']",距9号线丰台南路站608米,￥4730(每月),"['离地铁近', '清语']"
60836581,裕龙三区3居室-南卧,[顺义顺义城] 15号线顺义,"['12.32㎡', '5/6层', '3室1厅', '合']",距15号线顺义站1354米,￥1930(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60069141,怡海花园富泽园3居室-南卧,[丰台科技园区] 9号线科怡路,"['17.6㎡', '5/12层', '3室1厅', '合']",距9号线科怡路站365米,￥2430(每月),"['离地铁近', '独立阳台', '集体供暖', '友家3.0 拿铁']"
60826621,澜西园四区3居室-南卧,[顺义顺义其它] 15号线石门,"['19㎡', '6/6层', '3室1厅', '合']",距15号线石门站2045米,￥1990(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60837254,高家园三区1居室-南,[朝阳酒仙桥] 14号线望京南,"['44.11㎡', '8/16层', '1室1厅', '整']",距14号线望京南站502米,￥5690(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60833911,北苑家园绣菊园南区2居室-南北,[朝阳北苑] 5号线立水桥南,"['103.64㎡', '25/25层', '2室1厅', '整']",距5号线立水桥南站638米,￥6890(每月),"['离地铁近', '集体供暖', '优格']"
60821837,首开常青藤一期2居室-南,[朝阳东坝] ,"['92㎡', '2/6层', '2室1厅', '整']",,￥6860(每月),"['独立供暖', '优格']"
60750937,港馨家园东区3居室-南卧,[顺义顺义城] ,"['14.2㎡', '1/6层', '3室1厅', '合']",,￥1790(每月),"['独立阳台', '集体供暖', '友家4.0 木棉']"
60827820,海棠湾二期2居室-南北,[通州梨园] 八通线临河里,"['84.47㎡', '13/26层', '2室1厅', '直']",距八通线临河里站1223米,￥5500(每月),"['离地铁近', '独立阳台', '集体供暖']"
60851909,保利茉莉公馆2居室-南北,[大兴黄村] 4号线高米店北,"['90.98㎡', '11/24层', '2室1厅', '整']",距4号线高米店北站288米,￥6460(每月),"['离地铁近', '集体供暖', '清语']"
60824597,珠江骏景中区2居室-南,[丰台洋桥] 10号线大红门,"['97.98㎡', '6/24层', '2室1厅', '整']",距10号线大红门站944米,￥7090(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60855510,北苑家园望春园4居室-南卧,[朝阳北苑] 5号线立水桥南,"['16.5㎡', '4/25层', '4室1厅', '合']",距5号线立水桥南站614米,￥2860(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60795930,上东上层2居室-南,[朝阳东坝] ,"['81.98㎡', '12/12层', '2室1厅', '整']",,￥5430(每月),"['独立供暖', '清语']"
60800758,远洋天地一期2居室-南北,[朝阳四惠] 八通线四惠,"['122.43㎡', '6/9层', '2室2厅', '直']",距八通线四惠站505米,￥9400(每月),"['离地铁近', '集体供暖']"
60822175,首开熙悦尚郡2居室-南,[朝阳高碑店] 八通线高碑店,"['136.49㎡', '13/24层', '2室2厅', '整']",距八通线高碑店站1549米,￥9890(每月),"['离地铁近', '中央空调', '优格']"
60860324,和平里七区1居室-南,[东城和平里] 5号线和平里北街,"['43.32㎡', '1/6层', '1室1厅', '整']",距5号线和平里北街站269米,￥5660(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60826862,筑华年2居室-南,[朝阳北苑] 13号线北苑,"['97.14㎡', '14/14层', '2室2厅', '直']",距13号线北苑站951米,￥7700(每月),"['离地铁近', '集体供暖']"
60854353,中国铁建国际城2居室-南,[朝阳北苑] 13号线北苑,"['97.04㎡', '11/19层', '2室1厅', '整']",距13号线北苑站568米,￥7790(每月),"['离地铁近', '集体供暖', '清语']"
60629410,远洋山水2居室-南,[石景山鲁谷] 1号线八宝山,"['97.26㎡', '7/26层', '2室1厅', '整']",距1号线八宝山站800米,￥7260(每月),"['离地铁近', '集体供暖', '清语']"
60856370,润泽悦溪2居室-南北,[朝阳北苑] 13号线北苑,"['88.75㎡', '3/11层', '2室1厅', '整']",距13号线北苑站1197米,￥7390(每月),"['离地铁近', '清语']"
60775530,润泽悦溪2居室-南北,[朝阳北苑] 13号线北苑,"['89.99㎡', '3/11层', '2室1厅', '直']",距13号线北苑站1197米,￥7200(每月),['离地铁近']
60842481,仁和花园二区3居室-南卧,[顺义顺义城] ,"['15.7㎡', '2/13层', '3室1厅', '合']",,￥1890(每月),"['独立阳台', '集体供暖', '友家4.0 木棉']"
60840807,澜西园四区3居室-南卧,[顺义顺义其它] 15号线石门,"['15㎡', '6/12层', '3室1厅', '合']",距15号线石门站2045米,￥1890(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60859230,今日家园2居室-西,[海淀五棵松] 1号线五棵松,"['98.36㎡', '3/18层', '2室1厅', '整']",距1号线五棵松站908米,￥7990(每月),"['离地铁近', '集体供暖', '优格']"
60835790,皓月园4居室-南卧,[门头沟门头沟] ,"['17.5㎡', '10/16层', '4室1厅', '合']",,￥1890(每月),"['集体供暖', '友家4.0 木棉']"
60814528,石园南区3居室-南卧,[顺义顺义城] ,"['37.4㎡', '4/6层', '3室1厅', '合']",,￥2530(每月),"['集体供暖', '友家4.0 布丁']"
60750034,通惠家园2居室-南北,[朝阳四惠] 1号线四惠东,"['126.94㎡', '6/6层', '2室1厅', '直']",距1号线四惠东站350米,￥9700(每月),"['离地铁近', '独卫', '集体供暖', '原味']"
60857193,安河家园3居室-西卧,[海淀海淀北部新区] 16号线北安河,"['16.8㎡', '10/10层', '3室1厅', '合']",距16号线北安河站392米,￥1990(每月),"['离地铁近', '独立供暖', '友家4.0 米苏']"
60809546,中海金玺公馆3居室-南卧,[石景山古城] 1号线古城,"['11.8㎡', '3/20层', '3室1厅', '合']",距1号线古城站1147米,￥2390(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60803955,天通苑中苑4居室-南卧,[昌平天通苑] 5号线天通苑,"['13.25㎡', '3/6层', '4室1厅', '合']",距5号线天通苑站1211米,￥2630(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60693872,翠竹新村2居室-南北,[顺义天竺] 15号线国展,"['90㎡', '5/11层', '2室2厅', '整']",距15号线国展站1655米,￥5160(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60813267,水云居1居室-北,[海淀四季青] 6号线海淀五路居,"['35.22㎡', '11/14层', '1室1厅', '直']",距6号线海淀五路居站464米,￥5000(每月),"['离地铁近', '独立阳台', '集体供暖']"
60777905,双裕小区2居室-南北,[顺义后沙峪] 15号线后沙峪,"['71.81㎡', '3/6层', '2室1厅', '整']",距15号线后沙峪站1110米,￥4760(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60856073,金域华府一期2居室-南,[昌平西三旗] 13号线龙泽,"['86㎡', '25/26层', '2室1厅', '整']",距13号线龙泽站1105米,￥7060(每月),"['离地铁近', '集体供暖', '清语']"
60859697,红居南街1居室-南,[西城广安门] 7号线达官营,"['40.48㎡', '1/6层', '1室1厅', '整']",距7号线达官营站1087米,￥4590(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60767571,金汉绿港四区4居室-南卧,[顺义顺义城] 15号线顺义,"['17.2㎡', '3/20层', '4室1厅', '合']",距15号线顺义站780米,￥2130(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60762468,金汉绿港四区4居室-南卧,[顺义顺义城] 15号线顺义,"['22㎡', '1/20层', '4室1厅', '合']",距15号线顺义站780米,￥2160(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60686301,茗筑2居室-西南,[西城马连道] 9号线六里桥东,"['111.52㎡', '18/27层', '2室1厅', '整']",距9号线六里桥东站1308米,￥6890(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
