id,area,address,information,distance_from_subway,price,feature
60850583,BOBO自由城2居室-南北,[通州武夷花园] 6号线北运河东,"['123㎡', '3/5层', '2室1厅', '整']",距6号线北运河东站833米,￥6460(每月),"['离地铁近', '集体供暖', '清语']"
60832740,新奥洋房2居室-南,[东城永定门] 14号线景泰,"['94.81㎡', '7/13层', '2室1厅', '整']",距14号线景泰站173米,￥7550(每月),"['离地铁近', '独立供暖', '优格']"
60858057,领秀慧谷C区2居室-南北,[昌平西二旗] 8号线朱辛庄,"['87㎡', '5/11层', '2室1厅', '整']",距8号线朱辛庄站891米,￥5560(每月),"['离地铁近', '独立供暖', '清语']"
60826891,西辛南区3居室-南卧,[顺义顺义城] 15号线石门,"['13.31㎡', '5/5层', '3室1厅', '合']",距15号线石门站84米,￥2190(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60850621,中海金玺公馆2居室-南,[石景山古城] 1号线古城,"['88.02㎡', '11/20层', '2室2厅', '整']",距1号线古城站1147米,￥5890(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60849474,建材城东一里4居室-南卧,[海淀西三旗] 8号线霍营,"['21㎡', '4/4层', '4室1厅', '合']",距8号线霍营站1354米,￥3390(每月),"['离地铁近', '独卫', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60845086,景泰西里西区1居室-南,[东城永定门] 14号线景泰,"['61㎡', '3/10层', '1室1厅', '整']",距14号线景泰站324米,￥5460(每月),"['离地铁近', '独立阳台', '独立供暖', '优格']"
60825020,清芷园4居室-南卧,[西城陶然亭] 4号线陶然亭,"['23㎡', '9/18层', '4室1厅', '合']",距4号线陶然亭站548米,￥3630(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60782629,西辛北区2居室-南,[顺义顺义城] 15号线石门,"['57.24㎡', '3/6层', '2室1厅', '整']",距15号线石门站833米,￥3860(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60814169,京师园4居室-南卧,[朝阳奥林匹克公园] 8号线林萃桥,"['16.7㎡', '5/21层', '4室1厅', '合']",距8号线林萃桥站522米,￥3390(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60824023,金汉绿港二区4居室-南卧,[顺义顺义城] 15号线顺义,"['24.5㎡', '16/16层', '4室1厅', '合']",距15号线顺义站590米,￥2130(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60862388,司达小区1居室-南北,[丰台角门] 10号线角门东,"['61.15㎡', '3/6层', '1室1厅', '直']",距10号线角门东站350米,￥5530(每月),"['离地铁近', '独立阳台', '集体供暖']"
60849724,华纺易城2居室-南,[朝阳朝青] 6号线青年路,"['86.18㎡', '4/15层', '2室1厅', '整']",距6号线青年路站822米,￥8490(每月),"['离地铁近', '集体供暖', '优格']"
60824319,西山奥园4居室-东卧,[石景山苹果园] 1号线苹果园,"['16.52㎡', '5/15层', '4室1厅', '合']",距1号线苹果园站1133米,￥2190(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60816084,三环新城7号院2居室-东西,[丰台玉泉营] 10号线丰台站,"['77.52㎡', '2/29层', '2室0厅', '整']",距10号线丰台站站298米,￥6290(每月),"['离地铁近', '独立阳台', '独立供暖', '清语']"
60856584,定福庄西街1居室-南,[朝阳定福庄] 八通线传媒大学,"['66.66㎡', '5/6层', '1室1厅', '整']",距八通线传媒大学站390米,￥5160(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60835782,宣武门西大街2居室-南,[西城长椿街] 2号线长椿街,"['57.04㎡', '4/10层', '2室1厅', '整']",距2号线长椿街站145米,￥7160(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60765040,石园北区3居室-南卧,[顺义顺义城] 15号线顺义,"['22.4㎡', '1/6层', '3室1厅', '合']",距15号线顺义站1768米,￥1730(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60809884,金泰丽湾悦栖山2居室-南,[门头沟大峪] ,"['97㎡', '3/19层', '2室1厅', '直']",,￥4590(每月),['集体供暖']
60822175,首开熙悦尚郡2居室-南,[朝阳高碑店] 八通线高碑店,"['136.49㎡', '13/24层', '2室2厅', '整']",距八通线高碑店站1549米,￥9890(每月),"['离地铁近', '中央空调', '优格']"
60830920,弘善家园1居室-南,[朝阳潘家园] 10号线十里河,"['42.38㎡', '20/28层', '1室1厅', '整']",距10号线十里河站349米,￥5330(每月),"['离地铁近', '独立阳台', '独立供暖', '清语']"
60851427,南湖渠西里2居室-南北,[朝阳望京] 15号线望京西,"['54.38㎡', '5/5层', '2室1厅', '整']",距15号线望京西站457米,￥6230(每月),"['离地铁近', '集体供暖', '清语']"
60790631,石园东区3居室-南卧,[顺义顺义城] 15号线顺义,"['21.1㎡', '5/6层', '3室1厅', '合']",距15号线顺义站2295米,￥1890(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 布丁']"
60859621,中建港怡嘉园3居室-南卧,[大兴枣园] 4号线枣园,"['14.1㎡', '19/19层', '3室1厅', '合']",距4号线枣园站36米,￥2090(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60848667,天通苑本三区4居室-南卧,[昌平天通苑] 5号线天通苑南,"['14.72㎡', '4/6层', '4室1厅', '合']",距5号线天通苑南站933米,￥2690(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60825560,枣营北里2居室-南卧,[朝阳农展馆] 14号线枣营,"['14.86㎡', '7/18层', '2室1厅', '合']",距14号线枣营站514米,￥3860(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60860570,瑞丽江畔2居室-北,[丰台马家堡] 4号线角门西,"['68.84㎡', '12/21层', '2室1厅', '直']",距4号线角门西站237米,￥5600(每月),"['离地铁近', '独立阳台', '集体供暖']"
60857633,南郎家园2居室-南,[朝阳CBD] 10号线国贸,"['56.57㎡', '4/5层', '2室1厅', '直']",距10号线国贸站314米,￥7000(每月),"['离地铁近', '独立阳台', '集体供暖']"
60779697,扣钟北里2居室-南北,[西城阜成门] 6号线车公庄西,"['58.7㎡', '6/6层', '2室1厅', '整']",距6号线车公庄西站658米,￥6660(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60216554,K2玉蘭湾4居室-南卧,[通州通州其它] 八通线九棵树,"['18.3㎡', '14/27层', '4室1厅', '合']",距八通线九棵树站279米,￥2560(每月),"['离地铁近', '独卫', '集体供暖', '友家3.0 布丁']"
60693872,翠竹新村2居室-南北,[顺义天竺] 15号线国展,"['90㎡', '5/11层', '2室2厅', '整']",距15号线国展站1655米,￥5160(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60860936,尚西泊图4居室-南卧,[丰台六里桥] 9号线六里桥东,"['14.5㎡', '18/21层', '4室1厅', '合']",距9号线六里桥东站717米,￥2890(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60826400,车公庄西路35号院2居室-南,[海淀紫竹桥] 6号线花园桥,"['46.7㎡', '4/5层', '2室1厅', '整']",距6号线花园桥站157米,￥6690(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60781432,花家地北里2居室-南北,[朝阳望京] 14号线阜通,"['60.43㎡', '5/6层', '2室1厅', '整']",距14号线阜通站595米,￥6730(每月),"['离地铁近', '独立阳台', '集体供暖', '优格']"
60814527,石园南区3居室-南卧,[顺义顺义城] ,"['42.3㎡', '4/6层', '3室1厅', '合']",,￥2630(每月),"['独立阳台', '集体供暖', '友家4.0 拿铁']"
