id,area,address,information,distance_from_subway,price,feature
60839648,保利茉莉公馆2居室-南,[大兴黄村] 4号线高米店北,"['85㎡', '5/17层', '2室1厅', '整']",距4号线高米店北站288米,￥5960(每月),"['离地铁近', '集体供暖', '清语']"
60734871,华远铭悦2居室-南北,[通州梨园] 八通线土桥,"['85㎡', '3/18层', '2室1厅', '直']",距八通线土桥站780米,￥4290(每月),"['离地铁近', '集体供暖']"
60835777,翰林庭院4居室-南卧,[大兴黄村] 4号线黄村火车站,"['13㎡', '7/14层', '4室1厅', '合']",距4号线黄村火车站站215米,￥2090(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60752066,天通西苑一区4居室-南卧,[昌平天通苑] 5号线天通苑南,"['17.48㎡', '3/7层', '4室1厅', '合']",距5号线天通苑南站238米,￥2930(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60765326,西辛南区4居室-南卧,[顺义顺义城] 15号线石门,"['13㎡', '5/6层', '4室1厅', '合']",距15号线石门站84米,￥2390(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60831112,空港吉祥花园3居室-南卧,[顺义天竺] 15号线花梨坎,"['14.3㎡', '2/11层', '3室1厅', '合']",距15号线花梨坎站415米,￥2490(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60849449,运乔嘉园4居室-南卧,[通州乔庄] 6号线北运河西,"['11.9㎡', '5/11层', '4室1厅', '合']",距6号线北运河西站1010米,￥1830(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 布丁']"
60826891,西辛南区3居室-南卧,[顺义顺义城] 15号线石门,"['13.31㎡', '5/5层', '3室1厅', '合']",距15号线石门站84米,￥2190(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60841680,紫金新干线4居室-南卧,[昌平霍营] 8号线回龙观东大街,"['19.3㎡', '3/10层', '4室1厅', '合']",距8号线回龙观东大街站1375米,￥2530(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60842726,景熙国际2居室-南,[海淀甘家口] 9号线白堆子,"['87.59㎡', '1/11层', '2室1厅', '整']",距9号线白堆子站295米,￥6890(每月),"['离地铁近', '集体供暖', '优格']"
60841489,幸福东区1居室-南北,[顺义顺义城] 15号线顺义,"['64.87㎡', '4/6层', '1室1厅', '整']",距15号线顺义站488米,￥3590(每月),"['离地铁近', '集体供暖', '优格']"
60810104,中建港怡嘉园2居室-东南,[大兴枣园] 4号线枣园,"['93.09㎡', '5/19层', '2室2厅', '直']",距4号线枣园站36米,￥5290(每月),"['离地铁近', '集体供暖']"
60832767,首开国风美唐三期3居室-南卧,[昌平回龙观] 13号线霍营,"['18.4㎡', '10/18层', '3室1厅', '合']",距13号线霍营站429米,￥3060(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60837163,云景豪庭2居室-东南,[通州梨园] 八通线梨园,"['120.04㎡', '8/26层', '2室1厅', '直']",距八通线梨园站617米,￥5000(每月),"['离地铁近', '集体供暖']"
60739588,西辛南区3居室-南卧,[顺义顺义城] 15号线石门,"['10.3㎡', '2/6层', '3室1厅', '合']",距15号线石门站84米,￥2190(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60719414,安河家园3居室-南卧,[海淀海淀北部新区] 16号线北安河,"['10.8㎡', '13/14层', '3室1厅', '合']",距16号线北安河站392米,￥1760(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 布丁']"
