id,area,address,information,distance_from_subway,price,feature
60860955,新源时代1居室-南北,[大兴大兴其它] 4号线生物医药基地,"['63.11㎡', '6/18层', '1室1厅', '直']",距4号线生物医药基地站495米,￥3290(每月),"['离地铁近', '集体供暖']"
60783135,红木林2居室-南,[大兴黄村] 4号线枣园,"['71.3㎡', '25/28层', '2室1厅', '直']",距4号线枣园站470米,￥5390(每月),"['离地铁近', '集体供暖']"
60770674,站前东街2居室-南北,[顺义顺义城] 15号线顺义,"['71.36㎡', '4/6层', '2室1厅', '整']",距15号线顺义站345米,￥3990(每月),"['离地铁近', '独立阳台', '集体供暖']"
60841088,北辰墅院19004居室-南卧,[顺义马坡] ,"['21.4㎡', '3/17层', '4室1厅', '合']",,￥1490(每月),"['独立阳台', '集体供暖', '友家4.0 木棉']"
60824597,珠江骏景中区2居室-南,[丰台洋桥] 10号线大红门,"['97.98㎡', '6/24层', '2室1厅', '整']",距10号线大红门站944米,￥7090(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60629410,远洋山水2居室-南,[石景山鲁谷] 1号线八宝山,"['97.26㎡', '7/26层', '2室1厅', '整']",距1号线八宝山站800米,￥7260(每月),"['离地铁近', '集体供暖', '清语']"
60810005,新通国际花园1居室-南,[通州玉桥] 八通线梨园,"['57.38㎡', '23/28层', '1室1厅', '直']",距八通线梨园站337米,￥4500(每月),"['离地铁近', '独立阳台', '集体供暖']"
60845086,景泰西里西区1居室-南,[东城永定门] 14号线景泰,"['61㎡', '3/10层', '1室1厅', '整']",距14号线景泰站324米,￥5460(每月),"['离地铁近', '独立阳台', '独立供暖', '优格']"
60782239,润泽公馆2居室-南,[朝阳北苑] 13号线北苑,"['106.66㎡', '5/23层', '2室1厅', '整']",距13号线北苑站1255米,￥8560(每月),"['离地铁近', '独卫', '集体供暖', '清语']"
60769897,太平桥西里2居室-南卧,[丰台六里桥] 9号线六里桥东,"['15.1㎡', '6/6层', '2室1厅', '合']",距9号线六里桥东站225米,￥3430(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60850603,万年花城五期4居室-南卧,[丰台玉泉营] 10号线首经贸,"['22.4㎡', '15/15层', '4室1厅', '合']",距10号线首经贸站561米,￥2890(每月),"['离地铁近', '集体供暖', '友家4.0 木棉']"
60850600,万年花城五期4居室-南卧,[丰台玉泉营] 10号线首经贸,"['21.1㎡', '15/15层', '4室1厅', '合']",距10号线首经贸站561米,￥3660(每月),"['离地铁近', '独卫', '集体供暖', '友家4.0 拿铁']"
60708416,华龙苑南里2居室-南,[昌平霍营] 13号线霍营,"['60㎡', '6/6层', '2室1厅', '整']",距13号线霍营站511米,￥5630(每月),"['离地铁近', '集体供暖', '清语']"
60707439,丰益花园东区3居室-南卧,[丰台丽泽] 10号线泥洼,"['15.5㎡', '8/8层', '3室1厅', '合']",距10号线泥洼站529米,￥2760(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 木棉']"
60836383,三里河东路7号院2居室-南卧,[西城金融街] 2号线阜成门,"['22.6㎡', '2/6层', '2室1厅', '合']",距2号线阜成门站1066米,￥4160(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60831250,天泰新房苑4居室-南卧,[朝阳双桥] 八通线传媒大学,"['18.2㎡', '5/11层', '4室1厅', '合']",距八通线传媒大学站1017米,￥3090(每月),"['离地铁近', '独卫', '独立供暖', '友家4.0 拿铁']"
60809884,金泰丽湾悦栖山2居室-南,[门头沟大峪] ,"['97㎡', '3/19层', '2室1厅', '直']",,￥4590(每月),['集体供暖']
60739759,华龙苑南里2居室-南北,[昌平霍营] 13号线霍营,"['73.79㎡', '1/6层', '2室1厅', '直']",距13号线霍营站511米,￥5630(每月),"['离地铁近', '独立阳台', '集体供暖']"
60810830,金地仰山2居室-南,[大兴黄村] 4号线高米店南,"['88.44㎡', '17/18层', '2室1厅', '整']",距4号线高米店南站1689米,￥5590(每月),"['离地铁近', '集体供暖', '清语']"
60844025,溪城家园3居室-南卧,[昌平立水桥] 5号线立水桥南,"['14.3㎡', '15/15层', '3室1厅', '合']",距5号线立水桥南站1152米,￥2460(每月),"['离地铁近', '独立阳台', '独立供暖', '友家4.0 布丁']"
60847899,锦绣馨园4居室-南卧,[朝阳亚运村] 15号线关庄,"['15.1㎡', '14/24层', '4室1厅', '合']",距15号线关庄站680米,￥3960(每月),"['离地铁近', '独卫', '独立阳台', '集体供暖', '友家4.0 拿铁']"
60700221,丽水园1居室-南,[丰台马家堡] 4号线公益西桥,"['47㎡', '4/10层', '1室1厅', '整']",距4号线公益西桥站415米,￥5260(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60853916,莲玉嘉园5居室-南卧,[丰台青塔] 1号线玉泉路,"['24.8㎡', '10/27层', '5室1厅', '合']",距1号线玉泉路站1487米,￥2590(每月),"['离地铁近', '独立阳台', '集体供暖', '友家4.0 木棉']"
60686301,茗筑2居室-西南,[西城马连道] 9号线六里桥东,"['111.52㎡', '18/27层', '2室1厅', '整']",距9号线六里桥东站1308米,￥6890(每月),"['离地铁近', '独立阳台', '集体供暖', '清语']"
60806439,京贸国际城东区2居室-南北,[通州武夷花园] 6号线通运门,"['74.26㎡', '12/18层', '2室1厅', '整']",距6号线通运门站1689米,￥4560(每月),"['离地铁近', '集体供暖', '优格']"
